place_name;yr;period;index_nsa
Alaska;1975;1;6164
Alaska;1975;2;6379
Alaska;1975;3;6748
Alaska;1975;4;6876
Alaska;1976;1;7046
Alaska;1976;2;6984
Alaska;1976;3;7489
Alaska;1976;4;7230
Alaska;1977;1;7883
Alaska;1977;2;7963
Alaska;1977;3;8138
Alaska;1977;4;7921
Alaska;1978;1;7889
Alaska;1978;2;8608
Alaska;1978;3;8767
Alaska;1978;4;8692
Alaska;1979;1;8891
Alaska;1979;2;10056
Alaska;1979;3;9293
Alaska;1979;4;9531
Alaska;1980;1;10000
Alaska;1980;2;8240
Alaska;1980;3;7382
Alaska;1980;4;9440
Alaska;1981;1;8932
Alaska;1981;2;10806
Alaska;1981;3;11581
Alaska;1981;4;12854
Alaska;1982;1;13590
Alaska;1982;2;12988
Alaska;1982;3;14009
Alaska;1982;4;13613
Alaska;1983;1;13811
Alaska;1983;2;13952
Alaska;1983;3;14551
Alaska;1983;4;14522
Alaska;1984;1;14932
Alaska;1984;2;14705
Alaska;1984;3;15360
Alaska;1984;4;15151
Alaska;1985;1;14395
Alaska;1985;2;14441
Alaska;1985;3;14510
Alaska;1985;4;14094
Alaska;1986;1;14173
Alaska;1986;2;14434
Alaska;1986;3;13970
Alaska;1986;4;13644
Alaska;1987;1;13293
Alaska;1987;2;12352
Alaska;1987;3;11546
Alaska;1987;4;10454
Alaska;1988;1;12067
Alaska;1988;2;11467
Alaska;1988;3;12565
Alaska;1988;4;13138
Alaska;1989;1;12795
Alaska;1989;2;10375
Alaska;1989;3;10346
Alaska;1989;4;10149
Alaska;1990;1;9824
Alaska;1990;2;11176
Alaska;1990;3;12133
Alaska;1990;4;11939
Alaska;1991;1;12364
Alaska;1991;2;12659
Alaska;1991;3;13054
Alaska;1991;4;13067
Alaska;1992;1;13249
Alaska;1992;2;13366
Alaska;1992;3;13439
Alaska;1992;4;13489
Alaska;1993;1;13473
Alaska;1993;2;13522
Alaska;1993;3;13768
Alaska;1993;4;13848
Alaska;1994;1;13960
Alaska;1994;2;14290
Alaska;1994;3;14452
Alaska;1994;4;14380
Alaska;1995;1;14591
Alaska;1995;2;14847
Alaska;1995;3;14996
Alaska;1995;4;15049
Alaska;1996;1;15291
Alaska;1996;2;15530
Alaska;1996;3;15587
Alaska;1996;4;15786
Alaska;1997;1;15767
Alaska;1997;2;15889
Alaska;1997;3;16022
Alaska;1997;4;16222
Alaska;1998;1;16204
Alaska;1998;2;16477
Alaska;1998;3;16629
Alaska;1998;4;16600
Alaska;1999;1;16791
Alaska;1999;2;17153
Alaska;1999;3;17123
Alaska;1999;4;17129
Alaska;2000;1;17102
Alaska;2000;2;17338
Alaska;2000;3;17454
